NEW_COD_STUDENT,ID,GPA,YEAR,SEMESTER,GRADE,PROFESSOR_ID,"('amax', 'FIEC04341')","('amax', 'ICF00463')","('amax', 'ICM00216')","('amax', 'ICM00901')","('PrevLatestGrade', 'FIEC03012')","('PrevLatestGrade', 'FIEC04341')","('PrevLatestGrade', 'ICF00463')","('PrevLatestGrade', 'ICF00489')","('PrevLatestGrade', 'ICM00216')","('PrevLatestGrade', 'ICM00604')","('PrevLatestGrade', 'ICM00646')","('PrevLatestGrade', 'ICM00901')","('count', 'FIEC03012')","('count', 'FIEC04341')","('count', 'ICF00463')","('count', 'ICF00489')","('count', 'ICM00216')","('count', 'ICM00604')","('count', 'ICM00646')","('count', 'ICM00901')",TargetGrade,TargetCourse,C_LOAD,alpha,beta,Course_Theoritical_Credits,Course_Practical_Credits,Skewness,Skewness_Target,alpha_Target,beta_Target
8911,29121,8.064,2001,1T,6.85,46223,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,7.05,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.0,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,6.85,ICM00604,5,1.2256776251350092,1.4025822735722824,20,0,2.1251466207671683,0.8799036122866004,1.227894631855813,1.3959009282822776
8910,29119,7.9475,2000,1T,8.1,46223,7.088545203735197,7.8,8.4,7.257751899733544,8.6,5.380671689303938,7.8,6.35,8.4,6.777513156721233,8.5,6.915903483667225,1.0,1.6116298811544991,1.0,1.0,1.0,0.0,1.0,1.153261620448041,8.1,ICM00604,6,1.2562917128883413,1.531311161005462,21,3,1.7109463966145413,0.8799036122866004,1.227894631855813,1.3959009282822776
8842,23789,8.53,2008,2T,8.5,20789,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,8.5,ICM00604,5,1.147444811863137,0.9943312880122409,16,4,1.9087630567923415,0.8799036122866004,1.227894631855813,1.3959009282822776
8839,23771,7.8920338983050895,2008,1T,3.3,38816,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,3.3,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,1.0,1.3200680717371385,1.153261620448041,6.25,ICM00604,6,1.22579616834998,1.4166344035961596,21,4,0.6149251980788111,0.8799036122866004,1.227894631855813,1.3959009282822776
8839,23771,7.8920338983050895,2008,2T,6.25,7147,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,3.3,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,1.0,1.3200680717371385,1.153261620448041,6.25,ICM00604,6,1.1139965711101156,0.8438103073953882,21,4,0.9395069713752484,0.8799036122866004,1.227894631855813,1.3959009282822776
8836,23762,7.71440677966102,2008,2T,8.05,38816,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,8.05,ICM00604,6,1.22579616834998,1.4166344035961596,21,4,0.7536325394282893,0.8799036122866004,1.227894631855813,1.3959009282822776
8827,23667,8.182321428571429,2008,1T,7.4,22114,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,7.4,ICM00604,5,1.1902487791855005,1.22469580471658,17,4,0.5836884847848158,0.8799036122866004,1.227894631855813,1.3959009282822776
8817,23532,8.63135593220339,2008,1T,6.7,38816,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,6.7,ICM00604,6,1.22579616834998,1.4166344035961596,21,4,0.6292094163429863,0.8799036122866004,1.227894631855813,1.3959009282822776
8816,23517,7.799107142857139,2008,2T,6.4,30468,7.088545203735197,6.644003984063854,6.73480160975925,7.65,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,7.65,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.0,6.4,ICM00604,5,1.1814178205123458,1.166999641365123,20,0,1.054747215053784,0.8799036122866004,1.227894631855813,1.3959009282822776
8801,23342,8.64827586206897,2008,1T,7.75,22114,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,7.75,ICM00604,6,1.1902487791855005,1.22469580471658,21,4,0.6465052177897326,0.8799036122866004,1.227894631855813,1.3959009282822776
8776,23049,8.02779661016949,2008,1T,7.55,2686,7.088545203735197,6.644003984063854,6.73480160975925,7.257751899733544,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,6.777513156721233,6.222502945411774,6.915903483667225,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,0.0,1.3200680717371385,1.153261620448041,7.55,ICM00604,6,1.1076294843007073,0.8045750264436138,21,4,0.7702832782735461,0.8799036122866004,1.227894631855813,1.3959009282822776
8768,22962,7.81120689655172,2008,2T,5.0,22114,7.088545203735197,6.644003984063854,6.73480160975925,6.3,6.429354838709654,5.380671689303938,5.725982735723757,6.133709031057723,5.733465383889868,5.0,6.222502945411774,6.3,1.2577308120133481,1.6116298811544991,1.5326029216467463,1.380277658508659,1.602905112242973,1.0,1.3200680717371385,1.0,7.7,ICM00604,6,1.1902487791855005,1.22469580471658,21,4,0.5833635786165086,0.8799036122866004,1.227894631855813,1.3959009282822776
